73bc5000-73bc6000 r--p 00017000 fe:38 4731                               /data/misc/apexdata/com.android.art/dalvik-cache/arm64/boot-framework-adservices.oat
73bc6000-73bc7000 rw-p 00018000 fe:38 4731                               /data/misc/apexdata/com.android.art/dalvik-cache/arm64/boot-framework-adservices.oat
73bc7000-741ed000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
741ed000-741ee000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
741ee000-74249000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
74249000-76bc8000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
76bc8000-77bc7000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
59aea03000-59aea05000 r--p 00000000 fe:0a 156                            /system/bin/app_process64
59aea05000-59aea06000 r-xp 00002000 fe:0a 156                            /system/bin/app_process64
59aea06000-59aea07000 r--p 00003000 fe:0a 156                            /system/bin/app_process64
59aea07000-59aea08000 rw-p 00004000 fe:0a 156                            /system/bin/app_process64
5ef7e00000-5ef8725000 rw-s 5ef7e00000 00:11 500                          /dev/mali0
5ef8800000-5ef8c01000 rw-s 5ef8800000 00:11 500                          /dev/mali0
5ef8e00000-5ef9193000 rw-s 5ef8e00000 00:11 500                          /dev/mali0
5ef9200000-5ef95d0000 rw-s 5ef9200000 00:11 500                          /dev/mali0
5efaa00000-5efae01000 rw-s 5efaa00000 00:11 500                          /dev/mali0
5efb400000-5efbe1f000 rw-s 5efb400000 00:11 500                          /dev/mali0
5efc600000-5efc8b2000 rw-s 5efc600000 00:11 500                          /dev/mali0
5efca00000-5efcc21000 rw-s 5efca00000 00:11 500                          /dev/mali0
5efce00000-5efd787000 rw-s 5efce00000 00:11 500                          /dev/mali0
5efd800000-5efe21f000 rw-s 5efd800000 00:11 500                          /dev/mali0
5efe2c0000-5efe2e0000 rw-s 5efe2c0000 00:11 500                          /dev/mali0
5efe2e0000-5efe300000 rw-s 5efe2e0000 00:11 500                          /dev/mali0
5efe300000-5efe320000 rw-s 5efe300000 00:11 500                          /dev/mali0
5efe320000-5efe360000 rw-s 5efe320000 00:11 500                          /dev/mali0
5efe360000-5efe3a0000 rw-s 5efe360000 00:11 500                          /dev/mali0
5efe3a0000-5efe3e0000 rw-s 5efe3a0000 00:11 500                          /dev/mali0
5efe3e0000-5efe400000 rw-s 5efe3e0000 00:11 500                          /dev/mali0
5efe400000-5efee1f000 rw-s 5efe400000 00:11 500                          /dev/mali0
5efee2d000-5efee6d000 ---s 5efee2d000 00:11 500                          /dev/mali0
5efee6d000-5efefe0000 rw-s 5efee6d000 00:11 500                          /dev/mali0
5efefe0000-5eff000000 rw-s 5efefe0000 00:11 500                          /dev/mali0
5eff000000-5eff201000 rw-s 5eff000000 00:11 500                          /dev/mali0
5eff201000-5eff209000 rw-s 5eff201000 00:11 500                          /dev/mali0
5eff20a000-5eff216000 rw-s 5eff20a000 00:11 500                          /dev/mali0
5eff218000-5eff219000 rw-s 5eff218000 00:11 500                          /dev/mali0
